Название,Адрес,Широта,Долгота
"Зеев Жаботински, 88, Ришон-Лецион | זאב ז ' בוטינסקי, 88, ראשון לציון",,31.97187,34.798452
"Тёмкин, 15, Ришон-Лецион | טיומקין 15, ראשון לציון",,31.958216,34.803905
"Иерушалаим, 11, Ришон-Лецион | ירושלים, 11, ראשון לציון",,31.962198,34.809035
"Йоханан А-Сандлар, 17, Ришон-Лецион | יוחנן הסנדלר 17 ראשון לציון",,31.968654,34.813481
"Брит Йосеф, 13, Ришон-Лецион | ברית יוסף בית""ר 13 ראשון לציון",,31.973088,34.817515
"Начальная школа Офаким, Ришон-Лецион | בית ספר אופקים ראשון לציון",,31.964325,34.822614
"Виник Меьир, 39, Ришон-Лецион | מאיר ויניק 39, ראשון לציון",,31.957584,34.792936
"Герцль, 30, Ришон-Лецион | הרצל, 30, ראשון לציון",,31.968968,34.803977
"Ротшильд, 27, Ришон-Лецион | רוטשילד, 27, ראשון לציון",,31.963998,34.803761
"А-Шира А-Иврит, 8, Ришон-Лецион | השירה העברית, 8, ראשון לציון",,31.977422,34.769778
Старшая школа Амаль | Heamit High School,,31.970616,34.793413
"Мишмар А-Ярден, 6, Ришон-Лецион | משמר הירדן 6, ראשון לציון‎‎",,31.972762,34.807196
Bomb Shelter - Google,,31.986321,34.807381
Мигунит 1 ,,31.977447,34.789444
Мигунит 2,,31.974525,34.79664
Мигунит 3,,31.962869,34.803323
Мигунит 4,,31.954296,34.81964
Мигунит 5,,31.96459,34.827076
Мигунит 6,,31.954825,34.802927
Мигунит 7,,31.948958,34.827674
Мигунит 8,,31.944318,34.82677
Yehuda Leib Pinsker St 23,,31.96741,34.807186
"А-Хавацелет, 25, Ришон-Лецион | רחוב החבצלת, 25‎",,31.959191,34.820901
Shmu'el Shrira St 5,,31.966221,34.823258
"школа ""Бейт Яаков"", Ул. Пинскер 36",,31.968968,34.807637
Grinboim St 8,,31.963378,34.802523
Mordei ha-Geta'ot St 56,,31.954008,34.824231
"убежище по адресу:
צלליכין, 2",,31.961515,34.799082
Adar St 5,,31.997488,34.744976
HaDekel St 7,,31.95811,34.825316
Kheil ha-Yam St 10,,31.996056,34.738286
Школа Ицхак Навон,,31.961712,34.826568
"Школа Неве Хоф Хейл а-раглим, 31,33",,31.9963572,34.7423079
